X,Y,FID,Kode_Provi,Provinsi,Kasus_Posi,Kasus_Semb,Kasus_Meni
96.9095227480001,4.22508189200005,1,11,Aceh,8746,7149,358
99.0578878490001,2.18477921500005,2,12,Sumatera Utara,18149,15410,679
100.46680503,-0.85191434799998,3,13,Sumatera Barat,23464,20364,504
101.812891954,0.510525849000032,4,14,Riau,24966,23104,583
103.59932,-1.61775,5,15,Jambi,3227,2417,55
104.170419445,-3.21334682199995,6,16,Sumatera Selatan,11826,9515,611
102.26312,-3.79116,7,17,Bengkulu,3603,2597,117
105.986948082,-2.25295641099996,8,19,Bangka Belitung,2337,1717,35
105.018313051,-4.91807308699993,9,18,Lampung,6276,4317,274
108.202228889,3.91594724100003,10,21,Kepulauan Riau,6995,6075,172
106.82649,-6.17148,11,31,DKI Jakarta,183735,164787,3270
107.602807898,-6.91998021599994,12,32,Jawa Barat,83579,70788,1172
110.201112529,-7.25897038299996,13,33,Jawa Tengah,81716,54409,3562
110.445366971,-7.89501381499997,14,34,Daerah Istimewa Yogyakarta,12155,8175,260
112.733678801,-7.72011301899994,15,35,Jawa Timur,84152,72135,5827
106.109197069,-6.45618159899993,16,36,Banten,18170,10397,425
115.131650995,-8.36974326099994,17,51,Bali,17593,16031,519
117.506862452,-8.60665208399996,18,52,Nusa Tenggara Barat,5664,4551,273
121.14182917,-8.60484333199997,19,53,Nusa Tenggara Timur,2167,1202,50
111.120762401,-0.085901233999948,20,61,Kalimantan Barat,3118,2742,27
113.181047852,-1.63434004499993,21,62,Kalimantan Tengah,9740,7476,269
115.311307834,-2.44977913699995,22,63,Kalimantan Selatan,15303,13806,585
116.470858393,0.461046227000054,23,64,Kalimantan Timur,27076,22691,743
116.216718309,2.88882096100002,24,65,Kalimantan Utara,3794,2290,57
124.53537885,1.28609768700005,25,71,Sulawesi Utara,9671,7059,310
120.4495925,-1.45921495399995,26,72,Sulawesi Tengah,3552,1865,106
120.161157704,-3.74711571199992,27,73,Sulawesi Selatan,31047,26816,594
122.078678056,-4.13280397099993,28,74,Sulawesi Tenggara,7907,6986,149
123.06184,0.53707,29,75,Gorontalo,3841,3308,104
119.343471383,-2.46190201499996,30,76,Sulawesi Barat,1941,1552,34
129.360425,-3.12611934299997,31,81,Maluku,5722,4481,79
128.015929442,0.869337001000019,32,82,Maluku Utara,2771,2353,89
140.0,-5.0,33,94,Papua,13216,7088,147
132.968341712,-2.04172328199996,34,91,Papua Barat,5979,5444,99
113.915865,-0.989818181999965,35,0,Indonesia,0,0,0
